uniprot_id,ph_optimum,ec_id
Q8U1Z6,7.6,2.7.7.74 ; 2.7.8.34
I0GZ55,7,3.2.1.168
F1DBB3,8,2.1.1.-
Q3MKY2,8,3.1.1.80
P17169,7.2,2.6.1.16
D4GP31,7.5,3.1.1.68 ; 3.1.1.15
Q9KJX5,8.5,3.1.3.1
Q9S5X0,7.2,3.6.1.1
P77455,8,1.2.1.91; 3.3.2.12
Q00G41,6.5,5.4.2.2
A0A0U4VTN7,8,3.1.4.2 ; 3.3.2.2
Q8H1D8,6.5,3.6.1.5
P10725,9.5,5.1.1.1
Q9V0Q0,8,2.1.1.228
O24297,6.2,3.1.4.11
Q5JFM9,8.15,5.3.1.29
P60584,7.8,1.3.8.13
P53051,7,3.2.1.10
Q971K2,8,1.2.1.59
A0A075D657,7,2.1.1.-
Q5JCX3,7.5,2.4.2.57
Q9UIQ6,7.2,3.4.11.3
Q8YR92,9.5,1.2.1.79
Q9UUS2,7.3,1.13.11.60
A0A2U7QU15,5.5,3.2.1.8
P0AGL7,7.25,2.1.1.193
P08594,7.5,3.4.21.111
P22309,7.5,2.4.1.17
O67848,7.5,3.5.1.108
Q5BAU9,7,4.2.2.10
I6Y2J4,8.5,3.1.1.3
A1R2C3,6.5,1.4.3.21
P39135,8,2.7.8.7
B4EMQ6,7.6,2.7.7.13
P36217,5.25,3.2.1.8
A2QAC0,9.4,1.1.1.12
A0A0P0DIY6,8,3.1.1.7
A0A090BN67,7.5,2.1.1.267
G4WZU3,5,3.1.3.8
Q19076,3.5,3.1.3.2
Q50925,9.4,1.7.2.6
U3KZM8,7.2,2.5.1.21
G4T023,9,2.7.1.4
Q58822,4.9,2.4.2.54
Q7XSK2,6.5,3.2.1.21
P21161,7,4.5.1.3
O75907,7.4,2.3.1.20
Q7Y2C9,6,3.2.1.17
P80644,7.7,1.5.1.38 ; 1.5.1.39
Q42605,8.6,5.1.3.2
Q6YP15,7,3.1.1.29
B3XZI5,7.5,5.1.3.11
Q46079,8,4.2.2.19
Q556V8,3.5,1.11.1.19
P38287,7.5,2.4.1.370
Q9F9T3,7.7,1.14.14.33
M4GRS1,5,3.2.1.22
O33336,8,2.7.8.7
P69451,7.65,6.2.1.3
G0KZG8,7,4.2.2.11
Q0NZW5,7.4,1.3.3.4
Q6KAV2,7.5,1.1.1.9
Q0KB75,6.8,1.13.11.20
J7GHV7,8,1.1.1.284
P73495,7,4.1.3.36
Q46508,8,1.12.1.3
P31570,8,2.5.1.17
Q9FE01,7,1.11.1.11
Q72K04,4.5,3.2.1.208
Q74NE4,8,2.1.1.282 ; 2.1.1.228
P53228,7.6,2.2.1.2
Q48296,8.8,2.1.3.3
Q6VT21,7.5,3.5.1.88
P0DO67,6.75,2.4.1.-
Q5VK60,5.5,3.4.23.4
S5M6X9,5.8,3.5.5.1
O96007,7.6,2.8.1.12
Q3BS08,4.5,3.2.1.185
A3F8V2,5,3.2.1.176
B8PUQ5,7.5,1.1.1.40
P63085,7.5,2.7.11.24
D3PT81,7,1.1.1.86
Q91XE4,7.6,3.5.1.114
P07861,7.4,3.4.24.11
C1G1C3,7,1.1.1.3
P03813,8.5,5.1.1.10
P08492,4.7,3.2.1.18
Q8L3B2,8,1.2.1.58
Q7LZQ2,5,3.2.1.17
Q8L5K4,7,4.2.3.114
P07639,7.5,4.2.3.4
P53184,7.5,3.5.1.19
P30632,7.4,7.3.2.7
Q603D5,7.4,1.14.14.17
A0A0D5ZYA4,10.5,3.5.3.1
O59072,8,6.3.5.2
W8TQN2,7.5,1.5.1.39
Q9S1F9,8,1.4.1.4
Q93NG6,7.5,3.7.1.19
Q3LXA3,6.6,2.7.1.28; 2.7.1.29; 4.6.1.15
Q07973,7.5,1.14.15.16
Q84F15,7,4.1.1.83
Q8WVQ1,6.8,3.6.1.6
A0A1Z3GCD1,8,4.2.3.44
O28608,7,1.4.1.1
A0A287BBZ0,8,3.1.1.1
P62601,6,3.2.1.28
Q8WUX1,8,
Q8NK64,6.4,4.1.1.1
Q5FI04,6.2,2.4.1.8
F1SVL1,8.5,1.5.98.3
O52327,6.5,2.4.2.43
Q9BY41,8,3.5.1.98
Q1HFS8,4,3.2.1.4
Q8KDM7,6.25,2.8.5.2
Q92457,4,3.2.1.22
P11941,5,3.2.1.17
Q07607,7.7,4.3.3.7
O31156,7.5,3.11.1.1
Q3HSE4,7,1.14.14.21
P49245,7.6,2.3.1.180
P10908,7.5,3.1.4.46
Q93ZQ3,8.5,3.1.1.23
P20192,7.2,2.7.1.107
Q8GI16,7.5,1.14.12.22
Q8ZVK6,9.2,4.2.99.18
Q0ZS20,8.05,7.1.2.2
B8I944,8,5.1.3.30
P9WPU1,7.5,7.2.2.8
A0A0A1H8I4,6.5,5.3.3.7
Q2ULM2,9.5,3.4.11.-
Q9DCV3,7.6,2.3.1.20
P12726,7.5,2.4.2.31
A0A0C5VFC0,5.5,3.2.1.132
Q6QJ75,3.5,3.2.1.8
P35669,8.2,6.3.2.3
Q973W5,8.5,6.2.1.36
P71447,7,5.4.2.6
Q9C1S9,4.8,3.2.1.91
A0A387IZV4,7,2.4.1.358
A0R6M0,7.6,1.5.1.15
Q2N4T5,9,6.3.2.4
Q9UGM6,9,6.1.1.2
P00956,7.45,6.1.1.5
Q9S7H4,8,5.4.99.5
Q02896,7.4,3.5.1.23
E1ABX2,4.5,3.2.1.80
J5K1E2,7,3.2.1.28
A0A0H2ZB32,7.5,1.8.1.4
Q58635,7,6.1.1.15
A0A1V0M5M0,7.5,3.1.3.12
Q75V72,8.25,3.4.11.24
P72793,8,1.3.3.4
P9WKH1,8,2.5.1.10
A6XP71,7.5,1.1.1.40
O29903,7,1.15.1.2
A0A0H3FYM1,11,1.1.1.56
P13319,8,3.1.13.2
Q9HLE2,3.7,3.2.1.28
A0A0N9WRG3,8.3,4.2.1.1
Q72I82,8,2.4.2.7
P17119,7.2,5.6.1.4
Q7JNQ9,5.5,3.4.22.15
A0A023MIF8,4.667,3.2.1.23 ; 3.2.1.21 ; 3.2.1.38
Q8MLZ3,7,3.1.4.35
Q9LAG2,6.7,1.14.14.20
Q72EF0,7.5,2.7.2.7
B1VK40,7.4,2.7.11.24
P75949,7.7,3.2.1.52
A0A075B5G4,8.5,3.1.1.74
I6XZ73,8,4.2.3.123
Q9VMC9,7.4,3.5.1.9
Q52032,8,1.13.11.39
Q9LTW4,6,3.4.23.-
Q27657,7.5,3.5.3.6
Q9FIW4,6.8,3.2.1.21
P60604,7.5,2.3.2.24
A4ZYP8,7.6,1.15.1.1
O06961,7.5,2.7.2.15
P9WKL5,7,2.1.1.374
Q58HT5,7.5,2.3.1.75
P9WQA3,7.8,4.1.2.13
L0AQH5,7.4,3.4.24.28
B1X2S9,7,3.1.1.14
Q9ZAP8,6,3.2.1.135
A0A0W1QGK2,9,2.7.7.9
C7G532,7.5,5.3.1.5
Q86VW1,8.5,
J7K6M3,7.6,1.3.3.6
P81156,6,1.1.3.4
I6X235,8,3.6.1.13; 3.6.1.58
Q9H6B9,5,3.3.2.10
O52251,8.75,4.2.1.108
O08709,7,2.3.1.23
Q56837,8.25,4.4.1.23
Q70EX8,8.1,1.13.11.31
Q8ZMH3,8,3.1.3.16
Q0P891,6.9,1.16.3.2
I1RQU5,6,3.2.1.8
Q5ZR76,7.5,2.7.7.78
Q9FIE8,5.5,4.1.1.35
Q9BSE5,10,3.5.3.-; 3.5.3.1; 3.5.3.17; 3.5.3.7
Q9Z354,6.3,1.12.1.2
A7Z5E0,9,3.4.19.13 ; 2.3.2.2
C0SVZ5,7,2.3.1.218
